lent,return,lent_stationName,return_stationName,url
328,339,탑골공원 앞,종로4가 사거리,http://map.daum.net/?sName=탑골공원 앞 대여소&eName=종로4가 사거리 대여소&target=bicycle
328,358,탑골공원 앞,성대입구 사거리,http://map.daum.net/?sName=탑골공원 앞 대여소&eName=성대입구 사거리 대여소&target=bicycle
343,358,예일빌딩(율곡로) 앞,성대입구 사거리,http://map.daum.net/?sName=예일빌딩(율곡로) 앞 대여소&eName=성대입구 사거리 대여소&target=bicycle
1343,358,한성대7번출구 앞,성대입구 사거리,http://map.daum.net/?sName=한성대7번출구 앞 대여소&eName=성대입구 사거리 대여소&target=bicycle
346,358,맥스타일 앞,성대입구 사거리,http://map.daum.net/?sName=맥스타일 앞 대여소&eName=성대입구 사거리 대여소&target=bicycle
2243,2273,서울가정법원,일동제약 사거리,http://map.daum.net/?sName=서울가정법원 대여소&eName=일동제약 사거리 대여소&target=bicycle
2242,2273,양재역 11번 출구 앞,일동제약 사거리,http://map.daum.net/?sName=양재역 11번 출구 앞 대여소&eName=일동제약 사거리 대여소&target=bicycle
2250,2273,서초유치원 맞은편,일동제약 사거리,http://map.daum.net/?sName=서초유치원 맞은편 대여소&eName=일동제약 사거리 대여소&target=bicycle
2243,2247,서울가정법원,섬들근린공원,http://map.daum.net/?sName=서울가정법원 대여소&eName=섬들근린공원 대여소&target=bicycle
2242,2247,양재역 11번 출구 앞,섬들근린공원,http://map.daum.net/?sName=양재역 11번 출구 앞 대여소&eName=섬들근린공원 대여소&target=bicycle
2244,2247,교육개발원입구 교차로,섬들근린공원,http://map.daum.net/?sName=교육개발원입구 교차로 대여소&eName=섬들근린공원 대여소&target=bicycle
2243,2244,서울가정법원,교육개발원입구 교차로,http://map.daum.net/?sName=서울가정법원 대여소&eName=교육개발원입구 교차로 대여소&target=bicycle
2243,2274,서울가정법원,양재시민의숲역 3번출구,http://map.daum.net/?sName=서울가정법원 대여소&eName=양재시민의숲역 3번출구 대여소&target=bicycle
2242,2274,양재역 11번 출구 앞,양재시민의숲역 3번출구,http://map.daum.net/?sName=양재역 11번 출구 앞 대여소&eName=양재시민의숲역 3번출구 대여소&target=bicycle
2251,2274,더케이호텔 입구(양재2),양재시민의숲역 3번출구,http://map.daum.net/?sName=더케이호텔 입구(양재2) 대여소&eName=양재시민의숲역 3번출구 대여소&target=bicycle
2246,2274,서울시 품질시험소 앞,양재시민의숲역 3번출구,http://map.daum.net/?sName=서울시 품질시험소 앞 대여소&eName=양재시민의숲역 3번출구 대여소&target=bicycle
2243,2251,서울가정법원,더케이호텔 입구(양재2),http://map.daum.net/?sName=서울가정법원 대여소&eName=더케이호텔 입구(양재2) 대여소&target=bicycle
2242,2251,양재역 11번 출구 앞,더케이호텔 입구(양재2),http://map.daum.net/?sName=양재역 11번 출구 앞 대여소&eName=더케이호텔 입구(양재2) 대여소&target=bicycle
400,403,상암한화오벨리스크 1차 앞,부엉이공원 앞,http://map.daum.net/?sName=상암한화오벨리스크 1차 앞 대여소&eName=부엉이공원 앞 대여소&target=bicycle
400,402,상암한화오벨리스크 1차 앞,상암월드컵파크 9단지 앞,http://map.daum.net/?sName=상암한화오벨리스크 1차 앞 대여소&eName=상암월드컵파크 9단지 앞 대여소&target=bicycle
401,402,상암월드컵파크 10단지 앞,상암월드컵파크 9단지 앞,http://map.daum.net/?sName=상암월드컵파크 10단지 앞 대여소&eName=상암월드컵파크 9단지 앞 대여소&target=bicycle
400,412,상암한화오벨리스크 1차 앞,DMC산학협력연구센터 앞,http://map.daum.net/?sName=상암한화오벨리스크 1차 앞 대여소&eName=DMC산학협력연구센터 앞 대여소&target=bicycle
408,412,LG CNS앞,DMC산학협력연구센터 앞,http://map.daum.net/?sName=LG CNS앞 대여소&eName=DMC산학협력연구센터 앞 대여소&target=bicycle
508,513,성수아카데미타워 앞,뚝섬역 5번 출구 정류소 옆,http://map.daum.net/?sName=성수아카데미타워 앞 대여소&eName=뚝섬역 5번 출구 정류소 옆 대여소&target=bicycle
1132,1136,등촌역 7번출구,등촌2파출소,http://map.daum.net/?sName=등촌역 7번출구 대여소&eName=등촌2파출소 대여소&target=bicycle
1132,1135,등촌역 7번출구,강서구의회,http://map.daum.net/?sName=등촌역 7번출구 대여소&eName=강서구의회 대여소&target=bicycle
1118,1135,증미역 3번출구뒤(등촌두산위브센티움오피스텔),강서구의회,http://map.daum.net/?sName=증미역 3번출구뒤(등촌두산위브센티움오피스텔) 대여소&eName=강서구의회 대여소&target=bicycle
1122,1135,황금내근린공원,강서구의회,http://map.daum.net/?sName=황금내근린공원 대여소&eName=강서구의회 대여소&target=bicycle
931,932,역촌파출소,예일여중,http://map.daum.net/?sName=역촌파출소 대여소&eName=예일여중 대여소&target=bicycle
926,932,불광역 8번출구,예일여중,http://map.daum.net/?sName=불광역 8번출구 대여소&eName=예일여중 대여소&target=bicycle
1203,1258,밀리아나2빌딩 앞,가락미륭아파트 앞,http://map.daum.net/?sName=밀리아나2빌딩 앞 대여소&eName=가락미륭아파트 앞 대여소&target=bicycle
1257,1258,가락시장역 롯데마트앞,가락미륭아파트 앞,http://map.daum.net/?sName=가락시장역 롯데마트앞 대여소&eName=가락미륭아파트 앞 대여소&target=bicycle
1203,1230,밀리아나2빌딩 앞,송파중학교 정문,http://map.daum.net/?sName=밀리아나2빌딩 앞 대여소&eName=송파중학교 정문 대여소&target=bicycle
1201,1230,가락시장역 3번 출구,송파중학교 정문,http://map.daum.net/?sName=가락시장역 3번 출구 대여소&eName=송파중학교 정문 대여소&target=bicycle
501,584,광진구의회 앞,광진광장 교통섬,http://map.daum.net/?sName=광진구의회 앞 대여소&eName=광진광장 교통섬 대여소&target=bicycle
502,584,뚝섬유원지역 1번출구 앞,광진광장 교통섬,http://map.daum.net/?sName=뚝섬유원지역 1번출구 앞 대여소&eName=광진광장 교통섬 대여소&target=bicycle
500,584,어린이대공원역 3번출구 앞,광진광장 교통섬,http://map.daum.net/?sName=어린이대공원역 3번출구 앞 대여소&eName=광진광장 교통섬 대여소&target=bicycle
501,549,광진구의회 앞,아차산역 3번출구,http://map.daum.net/?sName=광진구의회 앞 대여소&eName=아차산역 3번출구 대여소&target=bicycle
3507,549,어린이회관,아차산역 3번출구,http://map.daum.net/?sName=어린이회관 대여소&eName=아차산역 3번출구 대여소&target=bicycle
3508,549,화양사거리,아차산역 3번출구,http://map.daum.net/?sName=화양사거리 대여소&eName=아차산역 3번출구 대여소&target=bicycle
3500,549,군자역2번출구,아차산역 3번출구,http://map.daum.net/?sName=군자역2번출구 대여소&eName=아차산역 3번출구 대여소&target=bicycle
3518,549,군자역 7번출구뒤,아차산역 3번출구,http://map.daum.net/?sName=군자역 7번출구뒤 대여소&eName=아차산역 3번출구 대여소&target=bicycle
3517,549,용마사거리,아차산역 3번출구,http://map.daum.net/?sName=용마사거리 대여소&eName=아차산역 3번출구 대여소&target=bicycle
540,549,군자역 7번출구 베스트샵 앞,아차산역 3번출구,http://map.daum.net/?sName=군자역 7번출구 베스트샵 앞 대여소&eName=아차산역 3번출구 대여소&target=bicycle
501,555,광진구의회 앞,구의3동주민센터,http://map.daum.net/?sName=광진구의회 앞 대여소&eName=구의3동주민센터 대여소&target=bicycle
3504,555,원일교회,구의3동주민센터,http://map.daum.net/?sName=원일교회 대여소&eName=구의3동주민센터 대여소&target=bicycle
704,711,남부법원검찰청 교차로,신일해피트리아파트 앞,http://map.daum.net/?sName=남부법원검찰청 교차로 대여소&eName=신일해피트리아파트 앞 대여소&target=bicycle
704,729,남부법원검찰청 교차로,서부식자재마트 건너편,http://map.daum.net/?sName=남부법원검찰청 교차로 대여소&eName=서부식자재마트 건너편 대여소&target=bicycle
703,729,오목교역 7번출구 앞,서부식자재마트 건너편,http://map.daum.net/?sName=오목교역 7번출구 앞 대여소&eName=서부식자재마트 건너편 대여소&target=bicycle
704,712,남부법원검찰청 교차로,강월초교입구 사거리,http://map.daum.net/?sName=남부법원검찰청 교차로 대여소&eName=강월초교입구 사거리 대여소&target=bicycle
706,712,신정네거리역,강월초교입구 사거리,http://map.daum.net/?sName=신정네거리역 대여소&eName=강월초교입구 사거리 대여소&target=bicycle
1668,1702,중계역 6번출구,녹천역 1번출구 앞,http://map.daum.net/?sName=중계역 6번출구 대여소&eName=녹천역 1번출구 앞 대여소&target=bicycle
1668,1670,중계역 6번출구,노원경찰서교차로,http://map.daum.net/?sName=중계역 6번출구 대여소&eName=노원경찰서교차로 대여소&target=bicycle
1608,1670,공릉역 1번 출구 앞,노원경찰서교차로,http://map.daum.net/?sName=공릉역 1번 출구 앞 대여소&eName=노원경찰서교차로 대여소&target=bicycle
173,367,서대문역 8번출구 앞,독립문역 3-1번출구,http://map.daum.net/?sName=서대문역 8번출구 앞 대여소&eName=독립문역 3-1번출구 대여소&target=bicycle
173,308,서대문역 8번출구 앞,광화문 S타워 앞,http://map.daum.net/?sName=서대문역 8번출구 앞 대여소&eName=광화문 S타워 앞 대여소&target=bicycle
1608,1619,공릉역 1번 출구 앞,중계동 하나프라자빌딩 앞(중1-1),http://map.daum.net/?sName=공릉역 1번 출구 앞 대여소&eName=중계동 하나프라자빌딩 앞(중1-1) 대여소&target=bicycle
1611,1619,과기대 입구(우),중계동 하나프라자빌딩 앞(중1-1),http://map.daum.net/?sName=과기대 입구(우) 대여소&eName=중계동 하나프라자빌딩 앞(중1-1) 대여소&target=bicycle
1608,1640,공릉역 1번 출구 앞,한내근린공원 북측,http://map.daum.net/?sName=공릉역 1번 출구 앞 대여소&eName=한내근린공원 북측 대여소&target=bicycle
1606,1640,태릉입구역 3번출구,한내근린공원 북측,http://map.daum.net/?sName=태릉입구역 3번출구 대여소&eName=한내근린공원 북측 대여소&target=bicycle
1332,1640,석계역 5번출구 건너편,한내근린공원 북측,http://map.daum.net/?sName=석계역 5번출구 건너편 대여소&eName=한내근린공원 북측 대여소&target=bicycle
1608,1641,공릉역 1번 출구 앞,한내근린공원 남측,http://map.daum.net/?sName=공릉역 1번 출구 앞 대여소&eName=한내근린공원 남측 대여소&target=bicycle
1608,1677,공릉역 1번 출구 앞,육군사관학교  앞,http://map.daum.net/?sName=공릉역 1번 출구 앞 대여소&eName=육군사관학교  앞 대여소&target=bicycle
1608,1617,공릉역 1번 출구 앞,하계동 중평어린이공원 앞,http://map.daum.net/?sName=공릉역 1번 출구 앞 대여소&eName=하계동 중평어린이공원 앞 대여소&target=bicycle
1611,1617,과기대 입구(우),하계동 중평어린이공원 앞,http://map.daum.net/?sName=과기대 입구(우) 대여소&eName=하계동 중평어린이공원 앞 대여소&target=bicycle
446,449,상명대입구,일성아파트,http://map.daum.net/?sName=상명대입구 대여소&eName=일성아파트 대여소&target=bicycle
1656,1681,중앙하이츠 아파트 입구,현대6차 아파트,http://map.daum.net/?sName=중앙하이츠 아파트 입구 대여소&eName=현대6차 아파트 대여소&target=bicycle
1655,1681,공릉1단지아파트,현대6차 아파트,http://map.daum.net/?sName=공릉1단지아파트 대여소&eName=현대6차 아파트 대여소&target=bicycle
1625,1681,상계역(4번출구),현대6차 아파트,http://map.daum.net/?sName=상계역(4번출구) 대여소&eName=현대6차 아파트 대여소&target=bicycle
1656,1661,중앙하이츠 아파트 입구,당현천근린공원,http://map.daum.net/?sName=중앙하이츠 아파트 입구 대여소&eName=당현천근린공원 대여소&target=bicycle
1401,1428,극동늘푸른아파트,원묵고등학교,http://map.daum.net/?sName=극동늘푸른아파트 대여소&eName=원묵고등학교 대여소&target=bicycle
1407,1428,먹골역 1번출구 뒤,원묵고등학교,http://map.daum.net/?sName=먹골역 1번출구 뒤 대여소&eName=원묵고등학교 대여소&target=bicycle
1413,1428,봉화산역 5번출구 뒤,원묵고등학교,http://map.daum.net/?sName=봉화산역 5번출구 뒤 대여소&eName=원묵고등학교 대여소&target=bicycle
1401,1438,극동늘푸른아파트,홈플러스 신내점 앞,http://map.daum.net/?sName=극동늘푸른아파트 대여소&eName=홈플러스 신내점 앞 대여소&target=bicycle
1428,1438,원묵고등학교,홈플러스 신내점 앞,http://map.daum.net/?sName=원묵고등학교 대여소&eName=홈플러스 신내점 앞 대여소&target=bicycle
1401,1601,극동늘푸른아파트,석계역 문화광장 내 자전거 보관소,http://map.daum.net/?sName=극동늘푸른아파트 대여소&eName=석계역 문화광장 내 자전거 보관소 대여소&target=bicycle
1332,1601,석계역 5번출구 건너편,석계역 문화광장 내 자전거 보관소,http://map.daum.net/?sName=석계역 5번출구 건너편 대여소&eName=석계역 문화광장 내 자전거 보관소 대여소&target=bicycle
183,192,하늘채코오롱아파트 건너편,연서어린이공원,http://map.daum.net/?sName=하늘채코오롱아파트 건너편 대여소&eName=연서어린이공원 대여소&target=bicycle
110,192,사천교,연서어린이공원,http://map.daum.net/?sName=사천교 대여소&eName=연서어린이공원 대여소&target=bicycle
117,192,홍은사거리,연서어린이공원,http://map.daum.net/?sName=홍은사거리 대여소&eName=연서어린이공원 대여소&target=bicycle
155,192,가좌역1 번출구 뒤,연서어린이공원,http://map.daum.net/?sName=가좌역1 번출구 뒤 대여소&eName=연서어린이공원 대여소&target=bicycle
147,202,마포역 4번출구 뒤,국민일보 앞,http://map.daum.net/?sName=마포역 4번출구 뒤 대여소&eName=국민일보 앞 대여소&target=bicycle
2002,202,노들역 1번출구,국민일보 앞,http://map.daum.net/?sName=노들역 1번출구 대여소&eName=국민일보 앞 대여소&target=bicycle
147,210,마포역 4번출구 뒤,IFC몰,http://map.daum.net/?sName=마포역 4번출구 뒤 대여소&eName=IFC몰 대여소&target=bicycle
146,210,마포역 1번출구 뒤,IFC몰,http://map.daum.net/?sName=마포역 1번출구 뒤 대여소&eName=IFC몰 대여소&target=bicycle
142,157,아현역 4번출구 앞,애오개역 4번출구 앞,http://map.daum.net/?sName=아현역 4번출구 앞 대여소&eName=애오개역 4번출구 앞 대여소&target=bicycle
146,157,마포역 1번출구 뒤,애오개역 4번출구 앞,http://map.daum.net/?sName=마포역 1번출구 뒤 대여소&eName=애오개역 4번출구 앞 대여소&target=bicycle
143,157,공덕역 2번출구,애오개역 4번출구 앞,http://map.daum.net/?sName=공덕역 2번출구 대여소&eName=애오개역 4번출구 앞 대여소&target=bicycle
142,180,아현역 4번출구 앞,충정로역 7번출구 뒤,http://map.daum.net/?sName=아현역 4번출구 앞 대여소&eName=충정로역 7번출구 뒤 대여소&target=bicycle
160,180,북아현동 가구거리,충정로역 7번출구 뒤,http://map.daum.net/?sName=북아현동 가구거리 대여소&eName=충정로역 7번출구 뒤 대여소&target=bicycle
142,156,아현역 4번출구 앞,서울서부지방법원 앞,http://map.daum.net/?sName=아현역 4번출구 앞 대여소&eName=서울서부지방법원 앞 대여소&target=bicycle
146,156,마포역 1번출구 뒤,서울서부지방법원 앞,http://map.daum.net/?sName=마포역 1번출구 뒤 대여소&eName=서울서부지방법원 앞 대여소&target=bicycle
142,145,아현역 4번출구 앞,공덕역 5번출구,http://map.daum.net/?sName=아현역 4번출구 앞 대여소&eName=공덕역 5번출구 대여소&target=bicycle
124,145,서강대 정문 건너편,공덕역 5번출구,http://map.daum.net/?sName=서강대 정문 건너편 대여소&eName=공덕역 5번출구 대여소&target=bicycle
142,143,아현역 4번출구 앞,공덕역 2번출구,http://map.daum.net/?sName=아현역 4번출구 앞 대여소&eName=공덕역 2번출구 대여소&target=bicycle
124,143,서강대 정문 건너편,공덕역 2번출구,http://map.daum.net/?sName=서강대 정문 건너편 대여소&eName=공덕역 2번출구 대여소&target=bicycle
211,221,여의도역 4번출구 옆,여의도초교 앞,http://map.daum.net/?sName=여의도역 4번출구 옆 대여소&eName=여의도초교 앞 대여소&target=bicycle
220,221,미성아파트 A동 앞,여의도초교 앞,http://map.daum.net/?sName=미성아파트 A동 앞 대여소&eName=여의도초교 앞 대여소&target=bicycle
216,221,삼부아파트1동 앞,여의도초교 앞,http://map.daum.net/?sName=삼부아파트1동 앞 대여소&eName=여의도초교 앞 대여소&target=bicycle
300,320,정동사거리,을지로입구역 4번출구 앞,http://map.daum.net/?sName=정동사거리 대여소&eName=을지로입구역 4번출구 앞 대여소&target=bicycle
301,320,경복궁역 7번출구 앞,을지로입구역 4번출구 앞,http://map.daum.net/?sName=경복궁역 7번출구 앞 대여소&eName=을지로입구역 4번출구 앞 대여소&target=bicycle
300,309,정동사거리,광화문역 6번출구 옆,http://map.daum.net/?sName=정동사거리 대여소&eName=광화문역 6번출구 옆 대여소&target=bicycle
300,348,정동사거리,독립문역 사거리,http://map.daum.net/?sName=정동사거리 대여소&eName=독립문역 사거리 대여소&target=bicycle
623,624,서울시립대 정문 앞,전농동 동아아파트 앞,http://map.daum.net/?sName=서울시립대 정문 앞 대여소&eName=전농동 동아아파트 앞 대여소&target=bicycle
568,624,청계8가사거리 부근,전농동 동아아파트 앞,http://map.daum.net/?sName=청계8가사거리 부근 대여소&eName=전농동 동아아파트 앞 대여소&target=bicycle
583,624,청계천 생태교실 앞,전농동 동아아파트 앞,http://map.daum.net/?sName=청계천 생태교실 앞 대여소&eName=전농동 동아아파트 앞 대여소&target=bicycle
610,624,동대문중 교차로,전농동 동아아파트 앞,http://map.daum.net/?sName=동대문중 교차로 대여소&eName=전농동 동아아파트 앞 대여소&target=bicycle
623,633,서울시립대 정문 앞,청량리 기업은행 앞,http://map.daum.net/?sName=서울시립대 정문 앞 대여소&eName=청량리 기업은행 앞 대여소&target=bicycle
623,635,서울시립대 정문 앞,시조사 앞 (청량고정문 옆),http://map.daum.net/?sName=서울시립대 정문 앞 대여소&eName=시조사 앞 (청량고정문 옆) 대여소&target=bicycle
622,635,전농사거리 교통섬,시조사 앞 (청량고정문 옆),http://map.daum.net/?sName=전농사거리 교통섬 대여소&eName=시조사 앞 (청량고정문 옆) 대여소&target=bicycle
615,635,용두동 레미안허브리츠아파트 앞,시조사 앞 (청량고정문 옆),http://map.daum.net/?sName=용두동 레미안허브리츠아파트 앞 대여소&eName=시조사 앞 (청량고정문 옆) 대여소&target=bicycle
624,635,전농동 동아아파트 앞,시조사 앞 (청량고정문 옆),http://map.daum.net/?sName=전농동 동아아파트 앞 대여소&eName=시조사 앞 (청량고정문 옆) 대여소&target=bicycle
623,634,서울시립대 정문 앞,외국어대 정문 앞,http://map.daum.net/?sName=서울시립대 정문 앞 대여소&eName=외국어대 정문 앞 대여소&target=bicycle
627,634,장안동삼거리 교통섬,외국어대 정문 앞,http://map.daum.net/?sName=장안동삼거리 교통섬 대여소&eName=외국어대 정문 앞 대여소&target=bicycle
1321,634,국민은행 종암동지점 앞,외국어대 정문 앞,http://map.daum.net/?sName=국민은행 종암동지점 앞 대여소&eName=외국어대 정문 앞 대여소&target=bicycle
1448,634,코스트코 상봉점,외국어대 정문 앞,http://map.daum.net/?sName=코스트코 상봉점 대여소&eName=외국어대 정문 앞 대여소&target=bicycle
1333,634,석관초등학교 앞,외국어대 정문 앞,http://map.daum.net/?sName=석관초등학교 앞 대여소&eName=외국어대 정문 앞 대여소&target=bicycle
1433,634,중화역 2번출구,외국어대 정문 앞,http://map.daum.net/?sName=중화역 2번출구 대여소&eName=외국어대 정문 앞 대여소&target=bicycle
1451,634,중랑세무서,외국어대 정문 앞,http://map.daum.net/?sName=중랑세무서 대여소&eName=외국어대 정문 앞 대여소&target=bicycle
576,591,광나루역 3번 출구,건국대학교 (행정관),http://map.daum.net/?sName=광나루역 3번 출구 대여소&eName=건국대학교 (행정관) 대여소&target=bicycle
3520,591,광진경찰서,건국대학교 (행정관),http://map.daum.net/?sName=광진경찰서 대여소&eName=건국대학교 (행정관) 대여소&target=bicycle
622,623,전농사거리 교통섬,서울시립대 정문 앞,http://map.daum.net/?sName=전농사거리 교통섬 대여소&eName=서울시립대 정문 앞 대여소&target=bicycle
617,623,청솔우성아파트 앞,서울시립대 정문 앞,http://map.daum.net/?sName=청솔우성아파트 앞 대여소&eName=서울시립대 정문 앞 대여소&target=bicycle
1814,1911,두산위브아파트 옆 상가건물 앞,구로디지털단지역 앞,http://map.daum.net/?sName=두산위브아파트 옆 상가건물 앞 대여소&eName=구로디지털단지역 앞 대여소&target=bicycle
1911,1924,구로디지털단지역 앞,삼부르네상스파크빌,http://map.daum.net/?sName=구로디지털단지역 앞 대여소&eName=삼부르네상스파크빌 대여소&target=bicycle
1911,1920,구로디지털단지역 앞,서울미래초등학교 사거리,http://map.daum.net/?sName=구로디지털단지역 앞 대여소&eName=서울미래초등학교 사거리 대여소&target=bicycle
1911,263,구로디지털단지역 앞,근로자회관 사거리,http://map.daum.net/?sName=구로디지털단지역 앞 대여소&eName=근로자회관 사거리 대여소&target=bicycle
1911,2109,구로디지털단지역 앞,은천로입구 가로공원,http://map.daum.net/?sName=구로디지털단지역 앞 대여소&eName=은천로입구 가로공원 대여소&target=bicycle
1911,703,구로디지털단지역 앞,오목교역 7번출구 앞,http://map.daum.net/?sName=구로디지털단지역 앞 대여소&eName=오목교역 7번출구 앞 대여소&target=bicycle
700,703,KB국민은행 염창역 지점 앞,오목교역 7번출구 앞,http://map.daum.net/?sName=KB국민은행 염창역 지점 앞 대여소&eName=오목교역 7번출구 앞 대여소&target=bicycle
1141,703,곰달래 문화복지센터 1-1,오목교역 7번출구 앞,http://map.daum.net/?sName=곰달래 문화복지센터 1-1 대여소&eName=오목교역 7번출구 앞 대여소&target=bicycle
1904,703,도림천역 1번 출구 앞,오목교역 7번출구 앞,http://map.daum.net/?sName=도림천역 1번 출구 앞 대여소&eName=오목교역 7번출구 앞 대여소&target=bicycle
320,326,을지로입구역 4번출구 앞,안국역 5번출구 앞,http://map.daum.net/?sName=을지로입구역 4번출구 앞 대여소&eName=안국역 5번출구 앞 대여소&target=bicycle
322,326,명동성당 앞,안국역 5번출구 앞,http://map.daum.net/?sName=명동성당 앞 대여소&eName=안국역 5번출구 앞 대여소&target=bicycle
320,368,을지로입구역 4번출구 앞,SK 서린빌딩 앞,http://map.daum.net/?sName=을지로입구역 4번출구 앞 대여소&eName=SK 서린빌딩 앞 대여소&target=bicycle
327,368,낙원상가 옆,SK 서린빌딩 앞,http://map.daum.net/?sName=낙원상가 옆 대여소&eName=SK 서린빌딩 앞 대여소&target=bicycle
301,368,경복궁역 7번출구 앞,SK 서린빌딩 앞,http://map.daum.net/?sName=경복궁역 7번출구 앞 대여소&eName=SK 서린빌딩 앞 대여소&target=bicycle
320,327,을지로입구역 4번출구 앞,낙원상가 옆,http://map.daum.net/?sName=을지로입구역 4번출구 앞 대여소&eName=낙원상가 옆 대여소&target=bicycle
314,327,국립현대미술관,낙원상가 옆,http://map.daum.net/?sName=국립현대미술관 대여소&eName=낙원상가 옆 대여소&target=bicycle
301,327,경복궁역 7번출구 앞,낙원상가 옆,http://map.daum.net/?sName=경복궁역 7번출구 앞 대여소&eName=낙원상가 옆 대여소&target=bicycle
316,327,종각역 1번출구 앞,낙원상가 옆,http://map.daum.net/?sName=종각역 1번출구 앞 대여소&eName=낙원상가 옆 대여소&target=bicycle
320,324,을지로입구역 4번출구 앞,신세계백화점 본점 앞,http://map.daum.net/?sName=을지로입구역 4번출구 앞 대여소&eName=신세계백화점 본점 앞 대여소&target=bicycle
220,250,미성아파트 A동 앞,대림아파트 사거리,http://map.daum.net/?sName=미성아파트 A동 앞 대여소&eName=대림아파트 사거리 대여소&target=bicycle
416,421,상암월드컵파크 1단지 교차로,마포구청 앞,http://map.daum.net/?sName=상암월드컵파크 1단지 교차로 대여소&eName=마포구청 앞 대여소&target=bicycle
184,421,SK망원동주유소 건너편,마포구청 앞,http://map.daum.net/?sName=SK망원동주유소 건너편 대여소&eName=마포구청 앞 대여소&target=bicycle
117,421,홍은사거리,마포구청 앞,http://map.daum.net/?sName=홍은사거리 대여소&eName=마포구청 앞 대여소&target=bicycle
417,421,DMC역 2번출구 옆,마포구청 앞,http://map.daum.net/?sName=DMC역 2번출구 옆 대여소&eName=마포구청 앞 대여소&target=bicycle
413,421,상암월드컵파크 3단지 후문,마포구청 앞,http://map.daum.net/?sName=상암월드컵파크 3단지 후문 대여소&eName=마포구청 앞 대여소&target=bicycle
418,421,월드컵경기장역 3번출구 옆,마포구청 앞,http://map.daum.net/?sName=월드컵경기장역 3번출구 옆 대여소&eName=마포구청 앞 대여소&target=bicycle
416,427,상암월드컵파크 1단지 교차로,성산시영아파트,http://map.daum.net/?sName=상암월드컵파크 1단지 교차로 대여소&eName=성산시영아파트 대여소&target=bicycle
416,418,상암월드컵파크 1단지 교차로,월드컵경기장역 3번출구 옆,http://map.daum.net/?sName=상암월드컵파크 1단지 교차로 대여소&eName=월드컵경기장역 3번출구 옆 대여소&target=bicycle
417,418,DMC역 2번출구 옆,월드컵경기장역 3번출구 옆,http://map.daum.net/?sName=DMC역 2번출구 옆 대여소&eName=월드컵경기장역 3번출구 옆 대여소&target=bicycle
186,418,월드컵공원,월드컵경기장역 3번출구 옆,http://map.daum.net/?sName=월드컵공원 대여소&eName=월드컵경기장역 3번출구 옆 대여소&target=bicycle
413,418,상암월드컵파크 3단지 후문,월드컵경기장역 3번출구 옆,http://map.daum.net/?sName=상암월드컵파크 3단지 후문 대여소&eName=월드컵경기장역 3번출구 옆 대여소&target=bicycle
1230,1271,송파중학교 정문,송파도서관,http://map.daum.net/?sName=송파중학교 정문 대여소&eName=송파도서관 대여소&target=bicycle
1230,1256,송파중학교 정문,문정현대아파트 교차로,http://map.daum.net/?sName=송파중학교 정문 대여소&eName=문정현대아파트 교차로 대여소&target=bicycle
1201,1256,가락시장역 3번 출구,문정현대아파트 교차로,http://map.daum.net/?sName=가락시장역 3번 출구 대여소&eName=문정현대아파트 교차로 대여소&target=bicycle
132,140,창천문화공원,이화여대 후문,http://map.daum.net/?sName=창천문화공원 대여소&eName=이화여대 후문 대여소&target=bicycle
700,735,KB국민은행 염창역 지점 앞,영도초등학교,http://map.daum.net/?sName=KB국민은행 염창역 지점 앞 대여소&eName=영도초등학교 대여소&target=bicycle
706,707,신정네거리역,신정3동주민센터,http://map.daum.net/?sName=신정네거리역 대여소&eName=신정3동주민센터 대여소&target=bicycle
706,736,신정네거리역,오솔길공원,http://map.daum.net/?sName=신정네거리역 대여소&eName=오솔길공원 대여소&target=bicycle
710,736,서부화물트럭터미널 사거리,오솔길공원,http://map.daum.net/?sName=서부화물트럭터미널 사거리 대여소&eName=오솔길공원 대여소&target=bicycle
1619,1655,중계동 하나프라자빌딩 앞(중1-1),공릉1단지아파트,http://map.daum.net/?sName=중계동 하나프라자빌딩 앞(중1-1) 대여소&eName=공릉1단지아파트 대여소&target=bicycle
1619,1623,중계동 하나프라자빌딩 앞(중1-1),노원 구민회관,http://map.daum.net/?sName=중계동 하나프라자빌딩 앞(중1-1) 대여소&eName=노원 구민회관 대여소&target=bicycle
1605,1623,헬스케어,노원 구민회관,http://map.daum.net/?sName=헬스케어 대여소&eName=노원 구민회관 대여소&target=bicycle
1619,1656,중계동 하나프라자빌딩 앞(중1-1),중앙하이츠 아파트 입구,http://map.daum.net/?sName=중계동 하나프라자빌딩 앞(중1-1) 대여소&eName=중앙하이츠 아파트 입구 대여소&target=bicycle
1625,1656,상계역(4번출구),중앙하이츠 아파트 입구,http://map.daum.net/?sName=상계역(4번출구) 대여소&eName=중앙하이츠 아파트 입구 대여소&target=bicycle
1619,1625,중계동 하나프라자빌딩 앞(중1-1),상계역(4번출구),http://map.daum.net/?sName=중계동 하나프라자빌딩 앞(중1-1) 대여소&eName=상계역(4번출구) 대여소&target=bicycle
1925,229,동양미래대학교 정문 옆,양평1 보행육교 앞,http://map.daum.net/?sName=동양미래대학교 정문 옆 대여소&eName=양평1 보행육교 앞 대여소&target=bicycle
1925,1957,동양미래대학교 정문 옆,구일고등학교 정문,http://map.daum.net/?sName=동양미래대학교 정문 옆 대여소&eName=구일고등학교 정문 대여소&target=bicycle
